Value domain ID,Value ID
Airway clearance assistance frequency,Daily
Airway clearance assistance frequency,Weekly
Airway clearance assistance frequency,Occasionally
Airway clearance assistance frequency,Never
Airway clearance technique,Suction
Airway clearance technique,Bag valve mask
Airway clearance technique,Intrapulmonary percussive ventilation
Airway clearance technique,Mechanical insufflation-exsufflation
Allopathic drugs,Vitamin D
Allopathic drugs,Calcium
Allopathic drugs,Bisphosphonates
Allopathic drugs,Biphosphonate
Allopathic drugs,Bone health
Allopathic drugs,Gastroesophageal reflux
Allopathic drugs,Constipation
Allopathic drugs,Gastrointestinal
Allopathic drugs,Antibiotics
Allopathic drugs,Anticholinergic drugs
Allopathic drugs,Influenza immunizations
Allopathic drugs,Pneumococcal immunizations
Allopathic drugs,Respiratory
Allopathic drugs,Creatine
Allopathic drugs,Acetyl-L-carnitine
Allopathic drugs,Phenylbutyrate
Allopathic drugs,Gabapentin
Allopathic drugs,Thyrotropin-releasing hormone
Allopathic drugs,Hydroxyurea
Allopathic drugs,Valproate
Allopathic drugs,Albuterol
Allopathic drugs,Testosterone
Allopathic drugs,Supplement
Body side,Left
Body side,Right
Cardiac imaging type,Echocardiography
Cardiac imaging type,Cardiac MRI
Cardiac treatment,Angiotensin receptor blockers
Cardiac treatment,ACE inhibitors
Cardiac treatment,Beta blockers
Cardiac treatment,Eplerenone
Cardiac treatment,Spironolactone
Cardiac treatment,Other diuretics
Cardiac treatment,Pacemaker
Cardiac treatment,Implantable cardioverter-defibrillator
Corticosteroid,prednisone oral
Corticosteroid,prednisolone oral
Corticosteroid,deflazacort oral
DMD diagnosis,DMD
DMD diagnosis,BMD
DMD disease-modifying therapy,Ataluren
DMD disease-modifying therapy,Casimersen
DMD disease-modifying therapy,Eteplirsen
DMD disease-modifying therapy,Golodirsen
DMD disease-modifying therapy,Viltolarsen
Diagnosis methods,Genetic
Diagnosis methods,Physical examination
Diagnosis methods,Muscle biopsy
Diagnosis methods,Biomarkers
Disease-modifying therapy status,Ongoing
Disease-modifying therapy status,Stopped
Feeding tube usage type,Exclusive
Feeding tube usage type,Supplementary
Genetic testing method,RFLP
Genetic testing method,HRM
Genetic testing method,MLPA
Genetic testing method,DNA sequencing
Genetic testing method,qrtPCR
Genetic testing method,ddPCR
Genetic testing method,Exon sequencing
Genetic testing method,RNA analysis
Genetic testing method,Southern blotting
Genetic testing method,FISH
Height measurement method,Standing height
Height measurement method,Recumbent length
Height measurement method,Arm span
Height measurement method,Ulnar length
Hospitalisation planned reason,G-tube placement
Hospitalisation planned reason,Sleep study
Hospitalisation planned reason,Scoliosis surgery
Hospitalisation planned reason,Hip surgery
Hospitalisation planned reason,Contracture surgery
Hospitalisation planned reason,Disease-modifying therapy
Hospitalisation planned reason,Checkup
Hospitalisation type,Planned
Hospitalisation type,Acute
Morbidity classification,ICD-10
Morbidity classification,ICD-11
Morbidity classification,MedDRA
Mortality classification,ICD-10
Mortality classification,ICD-11
Motor ability,Hold head without support
Motor ability,Roll onto side
Motor ability,Sit without support
Motor ability,Crawl
Motor ability,Stand with assistance
Motor ability,Transfer
Motor ability,Stand without assistance
Motor ability,Get up from chair
Motor ability,Rise from floor
Motor ability,Walk with assistance
Motor ability,Walk without assistance
Motor ability,Walk 10 metres without assistance
Motor ability,Climb stairs
Motor ability,Run
Motor ability,Useful function of hands
Motor ability,Reach overhead in a sitting position
Motor ability,Raise hands to mouth in a sitting position
Motor measure,10MWT
Motor measure,100MTT
Motor measure,4SC
